Type,Die,Move Name,Power,STAB,Effect 1,Effect 2,Effect 3,STAB?,Move,File Name,Move:color,Japanese,Move - Japanese,French,Move - French,German,Move - German,Italian,Move - Italian,Spanish,Move - Spanish,Korean,Move - Korean,Chinese,Move - Chinese
{Bug},,Skitter Smack,2,3,{B Dis 1},,,True,{Bug}Skitter Smack{3}{B Dis 1},Skitter Smack (S),c1db70,はいよるいちげき,{Bug}はいよるいちげき{3}{B Dis 1},Ravage Rampant,{Bug}Ravage Rampant{3}{B Dis 1},Krabbelkracher,{Bug}Krabbelkracher{3}{B Dis 1},Strisciacolpo,{Bug}Strisciacolpo{3}{B Dis 1},Golpe Rastrero,{Bug}Golpe Rastrero{3}{B Dis 1},엄습하는일격,{Bug}엄습하는일격{3}{B Dis 1},爬擊 / 爬击,{Bug}爬擊 / 爬击{3}{B Dis 1}
{Bug},,Steamroller,2,3,{B Dis 5},,,True,{Bug}Steamroller{3}{B Dis 5},Steamroller (S),c1db70,ハードローラー,{Bug}ハードローラー{3}{B Dis 5},Bulldoboule,{Bug}Bulldoboule{3}{B Dis 5},Quetschwalze,{Bug}Quetschwalze{3}{B Dis 5},Rulloduro,{Bug}Rulloduro{3}{B Dis 5},Rodillo de Púas,{Bug}Rodillo de Púas{3}{B Dis 5},하드롤러,{Bug}하드롤러{3}{B Dis 5},瘋狂滾壓 / 疯狂滚压,{Bug}瘋狂滾壓 / 疯狂滚压{3}{B Dis 5}
{Bug},,Struggle Bug,1,2,{B Dis 1},,,True,{Bug}Struggle Bug{2}{B Dis 1},Struggle Bug (S),c1db70,むしのていこう,{Bug}むしのていこう{2}{B Dis 1},Survinsecte,{Bug}Survinsecte{2}{B Dis 1},Käfertrutz,{Bug}Käfertrutz{2}{B Dis 1},Entomoblocco,{Bug}Entomoblocco{2}{B Dis 1},Estoicismo,{Bug}Estoicismo{2}{B Dis 1},벌레의저항,{Bug}벌레의저항{2}{B Dis 1},蟲之抵抗 / 虫之抵抗,{Bug}蟲之抵抗 / 虫之抵抗{2}{B Dis 1}
{Bug},{d4},Twineedle,1,2,{W Add 1},{B Pois 6},,True,{d4}{Bug}Twineedle{2}{W Add 1}{B Pois 6},Twineedle (S),c1db70,ダブルニードル,{d4}{Bug}ダブルニードル{2}{W Add 1}{B Pois 6},Double Dard,{d4}{Bug}Double Dard{2}{W Add 1}{B Pois 6},Duonadel,{d4}{Bug}Duonadel{2}{W Add 1}{B Pois 6},Doppio Ago,{d4}{Bug}Doppio Ago{2}{W Add 1}{B Pois 6},Doble Ataque,{d4}{Bug}Doble Ataque{2}{W Add 1}{B Pois 6},더블니들,{d4}{Bug}더블니들{2}{W Add 1}{B Pois 6},雙針 / 双针,{d4}{Bug}雙針 / 双针{2}{W Add 1}{B Pois 6}
{Bug},,U-Turn,2,3,{W Switch},,,True,{Bug}U-Turn{3}{W Switch},U-Turn (S),c1db70,とんぼがえり,{Bug}とんぼがえり{3}{W Switch},Demi-Tour,{Bug}Demi-Tour{3}{W Switch},Kehrtwende,{Bug}Kehrtwende{3}{W Switch},Retromarcia,{Bug}Retromarcia{3}{W Switch},Ida y Vuelta,{Bug}Ida y Vuelta{3}{W Switch},유턴,{Bug}유턴{3}{W Switch},急速折返,{Bug}急速折返{3}{W Switch}
{Bug},,X-Scissor,2,3,,,,True,{Bug}X-Scissor{3},X-Scissor (S),c1db70,シザークロス,{Bug}シザークロス{3},Plaie Croix,{Bug}Plaie Croix{3},Kreuzschere,{Bug}Kreuzschere{3},Forbice X,{Bug}Forbice X{3},Tijera X,{Bug}Tijera X{3},시저크로스,{Bug}시저크로스{3},十字剪,{Bug}十字剪{3}
{Dark},,Assurance,2,3,{W Rage},,,True,{Dark}Assurance{3}{W Rage},Assurance (S),607c91,ダメおし,{Dark}ダメおし{3}{W Rage},Assurance,{Dark}Assurance{3}{W Rage},Gewissheit,{Dark}Gewissheit{3}{W Rage},Garanzia,{Dark}Garanzia{3}{W Rage},Buena Baza,{Dark}Buena Baza{3}{W Rage},승부굳히기,{Dark}승부굳히기{3}{W Rage},惡意追擊 / 恶意追击,{Dark}惡意追擊 / 恶意追击{3}{W Rage}
{Dark},,Aura Wheel,3*,4*,,,,#VALUE!,{Dark}Aura Wheel{4*},Aura Wheel (Dark) (S),607c91,オーラぐるま,{Dark}オーラぐるま{4*},Roue Libre,{Dark}Roue Libre{4*},Aura-Rad,{Dark}Aura-Rad{4*},Ruota d'Aura,{Dark}Ruota d'Aura{4*},Rueda Aural,{Dark}Rueda Aural{4*},오라휠,{Dark}오라휠{4*},氣場輪 / 气场轮,{Dark}氣場輪 / 气场轮{4*}
{Dark},,Bite,2,3,{B Dis 5},,,True,{Dark}Bite{3}{B Dis 5},Bite (S),607c91,かみつく,{Dark}かみつく{3}{B Dis 5},Morsure,{Dark}Morsure{3}{B Dis 5},Biss,{Dark}Biss{3}{B Dis 5},Morso,{Dark}Morso{3}{B Dis 5},Mordisco,{Dark}Mordisco{3}{B Dis 5},물기,{Dark}물기{3}{B Dis 5},咬住,{Dark}咬住{3}{B Dis 5}
{Dark},,Brutal Swing,2,3,,,,True,{Dark}Brutal Swing{3},Brutal Swing (S),607c91,ぶんまわす,{Dark}ぶんまわす{3},Centrifugifle,{Dark}Centrifugifle{3},Wirbler,{Dark}Wirbler{3},Vorticolpo,{Dark}Vorticolpo{3},Giro Vil,{Dark}Giro Vil{3},세차게휘두르기,{Dark}세차게휘두르기{3},狂舞揮打 / 狂舞挥打,{Dark}狂舞揮打 / 狂舞挥打{3}
{Dark},{d8},Ceaseless Edge,2,3,{Spikes},,,True,{d8}{Dark}Ceaseless Edge{3}{Spikes},Ceaseless Edge (S),607c91,ひけん・ちえなみ,{d8}{Dark}ひけん・ちえなみ{3}{Spikes},Vagues à Lames,{d8}{Dark}Vagues à Lames{3}{Spikes},Klingenschwall,{d8}{Dark}Klingenschwall{3}{Spikes},Lama Milleflutti,{d8}{Dark}Lama Milleflutti{3}{Spikes},Tajo Metralla,{d8}{Dark}Tajo Metralla{3}{Spikes},비검천중파,{d8}{Dark}비검천중파{3}{Spikes},秘劍・千重濤 / 秘剑・千重涛,{d8}{Dark}秘劍・千重濤 / 秘剑・千重涛{3}{Spikes}
{Dark},,Crunch,2,3,{W Adv 6},,,True,{Dark}Crunch{3}{W Adv 6},Crunch (S),607c91,かみくだく,{Dark}かみくだく{3}{W Adv 6},Mâchouille,{Dark}Mâchouille{3}{W Adv 6},Knirscher,{Dark}Knirscher{3}{W Adv 6},Sgranocchio,{Dark}Sgranocchio{3}{W Adv 6},Triturar,{Dark}Triturar{3}{W Adv 6},깨물어부수기,{Dark}깨물어부수기{3}{W Adv 6},咬碎,{Dark}咬碎{3}{W Adv 6}
{Dark},,Dark Pulse,2,3,{B Dis 6},,,True,{Dark}Dark Pulse{3}{B Dis 6},Dark Pulse (S),607c91,あくのはどう,{Dark}あくのはどう{3}{B Dis 6},Vibrobscur,{Dark}Vibrobscur{3}{B Dis 6},Finsteraura,{Dark}Finsteraura{3}{B Dis 6},Neropulsar,{Dark}Neropulsar{3}{B Dis 6},Pulso Umbrío,{Dark}Pulso Umbrío{3}{B Dis 6},악의파동,{Dark}악의파동{3}{B Dis 6},惡之波動 / 恶之波动,{Dark}惡之波動 / 恶之波动{3}{B Dis 6}
{Dark},,Darkest Lariat,2,3,{W Adv 1},,,True,{Dark}Darkest Lariat{3}{W Adv 1},Darkest Lariat (S),607c91,ＤＤラリアット,{Dark}ＤＤラリアット{3}{W Adv 1},Dark Lariat,{Dark}Dark Lariat{3}{W Adv 1},Dark Lariat,{Dark}Dark Lariat{3}{W Adv 1},Braccioteso,{Dark}Braccioteso{3}{W Adv 1},Lariat Oscuro,{Dark}Lariat Oscuro{3}{W Adv 1},DD래리어트,{Dark}DD래리어트{3}{W Adv 1},ＤＤ金勾臂,{Dark}ＤＤ金勾臂{3}{W Adv 1}
{Dark},,False Surrender,2,3,{W Adv 1},,,True,{Dark}False Surrender{3}{W Adv 1},False Surrender (S),607c91,どげざつき,{Dark}どげざつき{3}{W Adv 1},Fourbette,{Dark}Fourbette{3}{W Adv 1},Kniefalltrick,{Dark}Kniefalltrick{3}{W Adv 1},Supplicolpo,{Dark}Supplicolpo{3}{W Adv 1},Irreverencia,{Dark}Irreverencia{3}{W Adv 1},사죄의찌르기,{Dark}사죄의찌르기{3}{W Adv 1},假跪真撞,{Dark}假跪真撞{3}{W Adv 1}
{Dark},,Feint Attack,2,3,{W Adv 1},,,True,{Dark}Feint Attack{3}{W Adv 1},Feint Attack (S),607c91,だましうち,{Dark}だましうち{3}{W Adv 1},Feinte,{Dark}Feinte{3}{W Adv 1},Finte,{Dark}Finte{3}{W Adv 1},Finta,{Dark}Finta{3}{W Adv 1},Finta,{Dark}Finta{3}{W Adv 1},속여때리기,{Dark}속여때리기{3}{W Adv 1},出奇一擊 / 出奇一击,{Dark}出奇一擊 / 出奇一击{3}{W Adv 1}
{Dark},,Fiery Wrath,2,3,{B Dis 6},,,True,{Dark}Fiery Wrath{3}{B Dis 6},Fiery Wrath (S),607c91,もえあがるいかり,{Dark}もえあがるいかり{3}{B Dis 6},Fureur Ardente,{Dark}Fureur Ardente{3}{B Dis 6},Brennender Zorn,{Dark}Brennender Zorn{3}{B Dis 6},Furia Ardente,{Dark}Furia Ardente{3}{B Dis 6},Furia Candente,{Dark}Furia Candente{3}{B Dis 6},타오르는분노,{Dark}타오르는분노{3}{B Dis 6},怒火中燒 / 怒火中烧,{Dark}怒火中燒 / 怒火中烧{3}{B Dis 6}
{Dark},,Hyperspace Fury,2,3,{W Adv 1},{W StatDown},,True,{Dark}Hyperspace Fury{3}{W Adv 1}{W StatDown},Hyperspace Fury (S),607c91,いじげんラッシュ,{Dark}いじげんラッシュ{3}{W Adv 1}{W StatDown},Furie Dimension,{Dark}Furie Dimension{3}{W Adv 1}{W StatDown},Dimensionswahn,{Dark}Dimensionswahn{3}{W Adv 1}{W StatDown},Urtodimensionale,{Dark}Urtodimensionale{3}{W Adv 1}{W StatDown},Cerco Dimensión,{Dark}Cerco Dimensión{3}{W Adv 1}{W StatDown},다른차원러시,{Dark}다른차원러시{3}{W Adv 1}{W StatDown},異次元猛攻 / 异次元猛攻,{Dark}異次元猛攻 / 异次元猛攻{3}{W Adv 1}{W StatDown}
{Dark},,Jaw Lock,2,3,{B Lock},,,True,{Dark}Jaw Lock{3}{B Lock},Jaw Lock (S),607c91,くらいつく,{Dark}くらいつく{3}{B Lock},Croque Fort,{Dark}Croque Fort{3}{B Lock},Fesselbiss,{Dark}Fesselbiss{3}{B Lock},Morostretto,{Dark}Morostretto{3}{B Lock},Presa Maxilar,{Dark}Presa Maxilar{3}{B Lock},물고버티기,{Dark}물고버티기{3}{B Lock},緊咬不放 / 紧咬不放,{Dark}緊咬不放 / 紧咬不放{3}{B Lock}
{Dark},,Knock Off,2,3,{B Block},,,True,{Dark}Knock Off{3}{B Block},Knock Off (S),607c91,はたきおとす,{Dark}はたきおとす{3}{B Block},Sabotage,{Dark}Sabotage{3}{B Block},Abschlag,{Dark}Abschlag{3}{B Block},Privazione,{Dark}Privazione{3}{B Block},Desarme,{Dark}Desarme{3}{B Block},탁쳐서떨구기,{Dark}탁쳐서떨구기{3}{B Block},拍落,{Dark}拍落{3}{B Block}
{Dark},,Kowtow Cleave,2,3,{W Adv 1},,,True,{Dark}Kowtow Cleave{3}{W Adv 1},Kowtow Cleave (S),607c91,ドゲザン,{Dark}ドゲザン{3}{W Adv 1},Génusection,{Dark}Génusection{3}{W Adv 1},Kniefallspalter,{Dark}Kniefallspalter{3}{W Adv 1},Genufendente,{Dark}Genufendente{3}{W Adv 1},Genufendiente,{Dark}Genufendiente{3}{W Adv 1},도각참,{Dark}도각참{3}{W Adv 1},仆斬 / 仆刀,{Dark}仆斬 / 仆刀{3}{W Adv 1}
{Dark},,Lash Out,2*,3*,,,,#VALUE!,{Dark}Lash Out{3*},Lash Out (S),607c91,うっぷんばらし,{Dark}うっぷんばらし{3*},Cent Rancunes,{Dark}Cent Rancunes{3*},Frustventil,{Dark}Frustventil{3*},Sfogarabbia,{Dark}Sfogarabbia{3*},Desahogo,{Dark}Desahogo{3*},분풀이,{Dark}분풀이{3*},洩憤 / 泄愤,{Dark}洩憤 / 泄愤{3*}
{Dark},,Night Daze,2,3,{B Dis 1},,,True,{Dark}Night Daze{3}{B Dis 1},Night Daze (S),607c91,ナイトバースト,{Dark}ナイトバースト{3}{B Dis 1},Explonuit,{Dark}Explonuit{3}{B Dis 1},Nachtflut,{Dark}Nachtflut{3}{B Dis 1},Urtoscuro,{Dark}Urtoscuro{3}{B Dis 1},Pulso Noche,{Dark}Pulso Noche{3}{B Dis 1},나이트버스트,{Dark}나이트버스트{3}{B Dis 1},暗黑爆破,{Dark}暗黑爆破{3}{B Dis 1}
{Dark},{d8},Night Slash,2,3,,,,True,{d8}{Dark}Night Slash{3},Night Slash (S),607c91,つじぎり,{d8}{Dark}つじぎり{3},Tranche-Nuit,{d8}{Dark}Tranche-Nuit{3},Nachthieb,{d8}{Dark}Nachthieb{3},Nottesferza,{d8}{Dark}Nottesferza{3},Tajo Umbrío,{d8}{Dark}Tajo Umbrío{3},깜짝베기,{d8}{Dark}깜짝베기{3},暗襲要害 / 暗袭要害,{d8}{Dark}暗襲要害 / 暗袭要害{3}
{Dark},,Payback,1*,2*,,,,#VALUE!,{Dark}Payback{2*},Payback (S),607c91,しっぺがえし,{Dark}しっぺがえし{2*},Représailles,{Dark}Représailles{2*},Gegenstoß,{Dark}Gegenstoß{2*},Rivincita,{Dark}Rivincita{2*},Vendetta,{Dark}Vendetta{2*},보복,{Dark}보복{2*},以牙還牙 / 以牙还牙,{Dark}以牙還牙 / 以牙还牙{2*}
{Dark},,Punishment,2*,3*,,,,#VALUE!,{Dark}Punishment{3*},Punishment (S),607c91,おしおき,{Dark}おしおき{3*},Punition,{Dark}Punition{3*},Strafattacke,{Dark}Strafattacke{3*},Punizione,{Dark}Punizione{3*},Castigo,{Dark}Castigo{3*},혼내기,{Dark}혼내기{3*},懲罰 / 惩罚,{Dark}懲罰 / 惩罚{3*}
{Dark},,Pursuit,1*,2*,,,,#VALUE!,{Dark}Pursuit{2*},Pursuit (S),607c91,おいうち,{Dark}おいうち{2*},Poursuite,{Dark}Poursuite{2*},Verfolgung,{Dark}Verfolgung{2*},Inseguimento,{Dark}Inseguimento{2*},Persecución,{Dark}Persecución{2*},따라가때리기,{Dark}따라가때리기{2*},追打,{Dark}追打{2*}
{Dark},,Snarl,2,3,{B Dis 1},,,True,{Dark}Snarl{3}{B Dis 1},Snarl (S),607c91,バークアウト,{Dark}バークアウト{3}{B Dis 1},Aboiement,{Dark}Aboiement{3}{B Dis 1},Standpauke,{Dark}Standpauke{3}{B Dis 1},Urlorabbia,{Dark}Urlorabbia{3}{B Dis 1},Alarido,{Dark}Alarido{3}{B Dis 1},바크아웃,{Dark}바크아웃{3}{B Dis 1},大聲咆哮 / 大声咆哮,{Dark}大聲咆哮 / 大声咆哮{3}{B Dis 1}
{Dark},,Sucker Punch,2,3,{W Priority},,,True,{Dark}Sucker Punch{3}{W Priority},Sucker Punch (S),607c91,ふいうち,{Dark}ふいうち{3}{W Priority},Coup Bas,{Dark}Coup Bas{3}{W Priority},Tiefschlag,{Dark}Tiefschlag{3}{W Priority},Sbigoattacco,{Dark}Sbigoattacco{3}{W Priority},Golpe Bajo,{Dark}Golpe Bajo{3}{W Priority},기습,{Dark}기습{3}{W Priority},突襲 / 突袭,{Dark}突襲 / 突袭{3}{W Priority}
{Dark},,Thief,2*,3*,,,,#VALUE!,{Dark}Thief{3*},Thief (S),607c91,どろぼう,{Dark}どろぼう{3*},Larcin,{Dark}Larcin{3*},Raub,{Dark}Raub{3*},Furto,{Dark}Furto{3*},Ladrón,{Dark}Ladrón{3*},도둑질,{Dark}도둑질{3*},小偷,{Dark}小偷{3*}
{Dark},,Throat Chop,2,3,,,,True,{Dark}Throat Chop{3},Throat Chop (S),607c91,じごくづき,{Dark}じごくづき{3},Exécu-Son,{Dark}Exécu-Son{3},Neck Strike,{Dark}Neck Strike{3},Colpo Infernale,{Dark}Colpo Infernale{3},Golpe Mordaza,{Dark}Golpe Mordaza{3},지옥찌르기,{Dark}지옥찌르기{3},地獄突刺 / 地狱突刺,{Dark}地獄突刺 / 地狱突刺{3}
{Dark},{d8},Wicked Blow,2,3,,,,True,{d8}{Dark}Wicked Blow{3},Wicked Blow (S),607c91,あんこくきょうだ,{d8}{Dark}あんこくきょうだ{3},Poing Obscur,{d8}{Dark}Poing Obscur{3},Finstertreffer,{d8}{Dark}Finstertreffer{3},Pugnotenebra,{d8}{Dark}Pugnotenebra{3},Golpe Oscuro,{d8}{Dark}Golpe Oscuro{3},암흑강타,{d8}{Dark}암흑강타{3},暗冥強擊 / 暗冥强击,{d8}{Dark}暗冥強擊 / 暗冥强击{3}
{Dark},,Wicked Torque,2,3,{B Sleep 6},,,True,{Dark}Wicked Torque{3}{B Sleep 6},Wicked Torque (S),607c91,ダークアクセル,{Dark}ダークアクセル{3}{B Sleep 6},Crash Obscur,{Dark}Crash Obscur{3}{B Sleep 6},Finsterturbo,{Dark}Finsterturbo{3}{B Sleep 6},Turbotenebra,{Dark}Turbotenebra{3}{B Sleep 6},Ominochoque,{Dark}Ominochoque{3}{B Sleep 6},다크액셀,{Dark}다크액셀{3}{B Sleep 6},黑暗暴衝 / 黑暗暴冲,{Dark}黑暗暴衝 / 黑暗暴冲{3}{B Sleep 6}
{Dragon},,Breaking Swipe,2,3,{B Dis 1},,,True,{Dragon}Breaking Swipe{3}{B Dis 1},Breaking Swipe (S),ecb446,ワイドブレイカー,{Dragon}ワイドブレイカー{3}{B Dis 1},Abattage,{Dragon}Abattage{3}{B Dis 1},Breitseite,{Dragon}Breitseite{3}{B Dis 1},Vastoimpatto,{Dragon}Vastoimpatto{3}{B Dis 1},Vasto Impacto,{Dragon}Vasto Impacto{3}{B Dis 1},와이드브레이커,{Dragon}와이드브레이커{3}{B Dis 1},廣域破壞 / 广域破坏,{Dragon}廣域破壞 / 广域破坏{3}{B Dis 1}
{Dragon},,Clanging Scales,3,4,{W StatDown},,,True,{Dragon}Clanging Scales{4}{W StatDown},Clanging Scales (S),ecb446,スケイルノイズ,{Dragon}スケイルノイズ{4}{W StatDown},Vibrécaille,{Dragon}Vibrécaille{4}{W StatDown},Schuppenrasseln,{Dragon}Schuppenrasseln{4}{W StatDown},Clamorsquame,{Dragon}Clamorsquame{4}{W StatDown},Fragor Escamas,{Dragon}Fragor Escamas{4}{W StatDown},스케일노이즈,{Dragon}스케일노이즈{4}{W StatDown},鱗片噪音 / 鳞片噪音,{Dragon}鱗片噪音 / 鳞片噪音{4}{W StatDown}
{Dragon},,Core Enforcer,2,3,{B Block},,,True,{Dragon}Core Enforcer{3}{B Block},Core Enforcer (S),ecb446,コアパニッシャー,{Dragon}コアパニッシャー{3}{B Block},Sanction Suprême,{Dragon}Sanction Suprême{3}{B Block},Sanktionskern,{Dragon}Sanktionskern{3}{B Block},Nucleocastigo,{Dragon}Nucleocastigo{3}{B Block},Núcleo Castigo,{Dragon}Núcleo Castigo{3}{B Block},코어퍼니셔,{Dragon}코어퍼니셔{3}{B Block},核心懲罰者 / 核心惩罚者,{Dragon}核心懲罰者 / 核心惩罚者{3}{B Block}
